"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"1d5f3af42a3af642c7944096049f2193",11.2370024652665,6.98534383279723,2.04181092222742,0.00119614977482452,"Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SH3-11","uncultured_verrucomicrobium",NA,"Increase"
"25c95137ea13ffb635a44571aff082f7",7.86218394608905,6.46888347158579,1.903570635948,0.00128766825774378,"Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium",NA,"Increase"
"55a3b3b66eb1d13cf1e9d43f843987c6",10.7411176734843,7.72279222020137,2.27423149716547,0.00128840053020578,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","",NA,"Increase"
"adf8882d5fd60155f03f9a52e900d32d",357.521856485353,3.16406935364342,0.94762711883945,0.00153265442496363,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","uncultured_Rheinheimera","inhibitory","Increase"
"5afee2e7e16ac57a0f0b894c0a52aa81",4231.98743559875,3.7443392693255,1.14943533200972,0.00195861878763941,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","",NA,"Increase"
"bca92bacb095b7b7038fa9db51eecb3a",4.29056686982808,5.59589652093498,1.7278135166823,0.00206898992063805,"Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","",NA,"Increase"
"2b1891e2ae6cc99e8415227872225684",311.620723816447,5.49858639993343,1.71880938726122,0.00232327633821857,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","uncultured_Nevskia",NA,"Increase"
"0bfedfd3d215cf73dac75b71e6b84d42",13.0945908401784,6.27711261069436,1.99508227749371,0.0027168273106138,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02","uncultured_bacterium",NA,"Increase"
"5fb61a61dce165d42d137f5260e7b0c8",14.6681297371152,6.26310475957667,1.99215611065662,0.00271926846108446,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","",NA,"Increase"
"dfdaf52db0c945f03f32a278f5bb7a62",7.98998116615589,4.65501496531008,1.55850183644011,0.00434187160939362,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_sp.",NA,"Increase"
